Organisms	Organisms.1
grw	Granulicella sp. WH15
tsa	Terriglobus saanensis
trs	Terriglobus roseus
talb	Terriglobus albidus
abas	Acidisarcina polymorpha
eda	Edaphobacter sp. 12200R-103
sus	Candidatus Solibacter usitatus
ctm	Chloracidobacterium thermophilum
abac	Luteitalea pratensis
emi	Elusimicrobium minutum
epo	Endomicrobium proavitum
eti	Candidatus Endomicrobium trichonymphae Rs-D17
rsd	Candidatus Endomicrobium trichonymphae Rs-D17
fnu	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
fnc	Fusobacterium nucleatum subsp. vincentii 3_1_36A2
fnt	Fusobacterium nucleatum subsp. vincentii 3_1_27
fus	Fusobacterium nucleatum subsp. animalis 4_8
fne	Fusobacterium nucleatum subsp. animalis 7_1
fhw	Fusobacterium hwasookii
fpd	Fusobacterium pseudoperiodonticum
fva	Fusobacterium varium
ful	Fusobacterium ulcerans
fmo	Fusobacterium mortiferum
fgo	Fusobacterium gonidiaformans
fnf	Fusobacterium necrophorum subsp. funduliforme
fpei	Fusobacterium periodonticum
ipo	Ilyobacter polytropus
lba	Leptotrichia buccalis
leo	Leptotrichia sp. oral taxon 212
lot	Leptotrichia sp. oral taxon 847
leq	Leptotrichia sp. oral taxon 498
lhf	Leptotrichia hofstadii
lsz	Leptotrichia shahii
lhg	Leptotrichia hongkongensis
lte	Leptotrichia trevisanii
lwd	Leptotrichia wadei
lgo	Pseudoleptotrichia goodfellowii
str	Sebaldella termitidis
smf	Streptobacillus moniliformis
sns	Sneathia amnii
tai	Thermanaerovibrio acidaminovorans
aco	Aminobacterium colombiense
tli	Thermovirga lienii
amo	Acetomicrobium mobile
sbr	Fretibacterium fastidiosum
cpor	Cloacibacillus porcorum
fsu	Fibrobacter succinogenes
fsc	Fibrobacter succinogenes
gau	Gemmatimonas aurantiaca
gph	Gemmatimonas phototrophica
gba	Gemmatirosa kalamazoonesis
bth	Bacteroides thetaiotaomicron VPI-5482
btho	Bacteroides thetaiotaomicron 7330
bfr	Bacteroides fragilis YCH46
bfs	Bacteroides fragilis NCTC 9343
bfg	Bacteroides fragilis 638R
bfb	Bacteroides fragilis BOB25
bhl	Bacteroides helcogenes
bxy	Bacteroides xylanisolvens
boa	Bacteroides ovatus
bcel	Bacteroides cellulosilyticus
bcac	Bacteroides caccae
bcae	Bacteroides caecimuris
bzg	Bacteroides zoogleoformans
bhf	Bacteroides heparinolyticus
bis	Bacteroides intestinalis
bun	Bacteroides uniformis
bvu	Bacteroides vulgatus
bsa	Phocaeicola salanitronis
bdo	Bacteroides dorei HS1_L_1_B_010
bdh	Bacteroides dorei HS1_L_3_B_079
pgi	Porphyromonas gingivalis W83
pgn	Porphyromonas gingivalis ATCC 33277
pgt	Porphyromonas gingivalis TDC60
pah	Porphyromonas asaccharolytica
pcre	Porphyromonas crevioricanis
pcag	Porphyromonas cangingivalis
pbt	Fermentimonas caenicola
pmuc	Petrimonas mucosa
pet	Petrimonas sp. IBARAKI
psac	Proteiniphilum saccharofermentans
dys	Dysgonomonas sp. HDW5A
ppn	Paludibacter propionicigenes
pdi	Parabacteroides distasonis
parc	Parabacteroides sp. CT06
tfo	Tannerella forsythia
toh	Tannerella sp. oral taxon HOT-286
pary	Muribaculum intestinale
dun	Duncaniella sp. B8
bvs	Barnesiella viscericola
osp	Odoribacter splanchnicus
buy	Butyricimonas faecalis
aps	Candidatus Azobacteroides pseudotrichonymphae (Coptotermes formosanus)
pru	Prevotella ruminicola
pmz	Prevotella melaninogenica
pdn	Prevotella denticola
pit	Prevotella intermedia
pdt	Prevotella dentalis
pro	Prevotella sp. oral taxon 299
pfus	Prevotella fusca
peo	Prevotella enoeca
pje	Prevotella jejuni
poc	Prevotella oris
alq	Alloprevotella sp. E39
afd	Alistipes finegoldii
ash	Alistipes shahii
ald	Alistipes sp. dk3624
aok	Alistipes onderdonkii subsp. vulgaris
acou	Alistipes communis
ada	Alistipes dispar
rbc	Mucinivorans hirudinis
ttz	Tenuifilum thalassicum
bacc	Bacteroidales bacterium CF
dori	Draconibacterium orientale
drc	Draconibacterium sp. M1
blq	Salinivirga cyanobacteriivorans
asx	Alkalitalea saponilacus
mbas	Labilibaculum antarcticum
sru	Salinibacter ruber DSM 13855
srm	Salinibacter ruber M8
rmr	Rhodothermus marinus DSM 4252
rmg	Rhodothermus marinus SG0.5JP17-172
rbar	Rhodothermaceae bacterium RA
cpi	Chitinophaga pinensis
cbae	Chitinophaga caeni
chit	Chitinophaga sp. XS-30
chih	Chitinophaga sp. H33E-04
nko	Niastella koreensis
nso	Niabella soli
nia	Niabella ginsenosidivorans
fla	Flavisolibacter tropicus
fgg	Flavisolibacter ginsenosidimutans
arb	Arachidicoccus sp. BS20
ark	Arachidicoccus sp. KIS59-12
agi	Arachidicoccus ginsenosidivorans
arac	Arachidicoccus sp. B3-10
fln	Filimonas lacunae
pseg	Paraflavitalea soli
pgin	Panacibacter ginsenosidivorans
pgo	Pseudobacter ginsenosidimutans
fls	Flavihumibacter sp. SB-02
lacs	Lacibacter sp. S13-6-6
hhy	Haliscomenobacter hydrossis
sgn	Saprospira grandis
phe	Pedobacter heparinus
pep	Pedobacter sp. PACM 27299
pcm	Pedobacter cryoconitis
psty	Pedobacter steynii
pgs	Pedobacter ginsengisoli
pej	Pedobacter sp. CJ43
pek	Pedobacter sp. KBS0701
psn	Pseudopedobacter saltans
shg	Sphingobacterium sp. 21
sht	Sphingobacterium sp. ML3W
sphn	Sphingobacterium sp. B29
smiz	Sphingobacterium mizutaii
spsc	Sphingobacterium psychroaquaticum
sphz	Sphingobacterium sp. CZ-2
sphe	Sphingobacterium sp. dk4302
spdr	Sphingobacterium sp. DR205
sdj	Sphingobacterium daejeonense
stha	Sphingobacterium thalpophilum
scn	Solitalea canadensis
mup	Mucilaginibacter sp. PAMC 26640
muc	Mucilaginibacter xinganensis
mgot	Mucilaginibacter gotjawali
muh	Mucilaginibacter sp. HYN0043
mgin	Mucilaginibacter ginsenosidivorans
mgk	Mucilaginibacter ginsenosidivorax
mrub	Mucilaginibacter rubeus
mgos	Mucilaginibacter gossypii
agd	Anseongella ginsenosidimutans
oli	Olivibacter sp. LS-1
sbx	Sphingobacteriaceae bacterium GW460-11-11-14-LB5
cmr	Cyclobacterium marinum
camu	Cyclobacterium amurskyense
bbd	Belliella baltica
evi	Echinicola vietnamensis
est	Echinicola strongylocentroti
echi	Echinicola sp. LN3S3
alm	Algoriphagus sanaruensis
chu	Cytophaga hutchinsonii
dfe	Dyadobacter fermentans
sli	Spirosoma linguale
srd	Spirosoma radiotolerans
smon	Spirosoma montaniterrae
spir	Spirosoma pollinicola
spik	Spirosoma sp. KCTC 42546
spib	Spirosoma sp. BT328
lby	Leadbetterella byssophila
rsi	Runella slithyformis
run	Runella sp. HYN0085
rup	Runella sp. SP2
eol	Emticicia oligotrophica
fae	Fibrella aestuarina
fib	Fibrella sp. ES10-3-2-2
psez	Allopseudarcicella aquatilis
als	Arcticibacterium luteifluviistationis
rhoz	Rhodocytophaga sp. 172606-1
fli	Bernardetia litoralis
hsw	Hymenobacter swuensis
hym	Hymenobacter sp. APR13
hyd	Hymenobacter sp. DG25B
hye	Hymenobacter sp. DG25A
hyg	Hymenobacter sedentarius
hyp	Hymenobacter sp. PAMC 26554
hyz	Hymenobacter sp. PAMC 26628
hnv	Hymenobacter nivis
hyh	Hymenobacter oligotrophus
hyj	Hymenobacter jejuensis
hqi	Hymenobacter qilianensis
pko	Pontibacter korlensis
pact	Pontibacter actiniarum
ruf	Rufibacter sp. DG31D
rti	Rufibacter tibetensis
rud	Rufibacter sp. DG15C
nib	Nibribacter sp. BT10
add	Adhaeribacter sp. KUDC8001
aswu	Adhaeribacter swui
mtt	Marivirga tractuosa
fpf	Roseivirga pacifica
flm	Flammeovirga sp. MY04
fll	Flammeovirga pectinis
fbt	Flammeovirgaceae bacterium 311
aas	Candidatus Amoebophilus asiaticus
che	Cardinium endosymbiont cEper1 (Encarsia pergandiella)
cec	Cardinium endosymbiont of Sogatella furcifera
cher	Candidatus Cardinium hertigii
chk	Chryseolinea soli
gfo	Gramella forsetii
grl	Gramella salexigens
gfl	Gramella flava
grs	Gramella fulva
fps	Flavobacterium psychrophilum JIP02/86
fpc	Flavobacterium psychrophilum CSF259-93
fpy	Flavobacterium psychrophilum FPG101
fpo	Flavobacterium psychrophilum FPG3
fpq	Flavobacterium psychrophilum 950106-1/1
fpv	Flavobacterium psychrophilum V3-5
fpw	Flavobacterium psychrophilum V4-24
fpk	Flavobacterium psychrophilum v4-33
fpsz	Flavobacterium psychrophilum Z2
fjo	Flavobacterium johnsoniae UW101
fjg	Flavobacterium anhuiense
fbr	Flavobacterium branchiophilum
fco	Flavobacterium columnare
fin	Flavobacterium indicum
fgl	Flavobacterium gilvum
fcm	Flavobacterium commune
ffa	Flavobacterium faecale
fat	Flavobacterium arcticum
fki	Flavobacterium kingsejongi
fpal	Flavobacterium pallidum
fmg	Flavobacterium magnum
falb	Flavobacterium album
fcr	Flavobacterium crocinum
fse	Flavobacterium sediminis
fsn	Flavobacterium sangjuense
fnk	Flavobacterium nackdongense
coc	Capnocytophaga ochracea
ccm	Capnocytophaga canimorsus
col	Capnocytophaga sp. oral taxon 323
chg	Capnocytophaga haemolytica
capn	Capnocytophaga endodontalis
cgh	Capnocytophaga gingivalis
clk	Capnocytophaga leadbetteri
cspu	Capnocytophaga sputigena
ccyn	Capnocytophaga cynodegmi
caph	Capnocytophaga sp. H4358
csto	Capnocytophaga stomatis
capq	Capnocytophaga sp. H2931
capf	Capnocytophaga sp. FDAARGOS_737
rbi	Robiginitalea biformata
zpr	Zunongwangia profunda
cat	Croceibacter atlanticus
fbc	Maribacter sp. HTCC2170
marm	Maribacter sp. 1_2014MBL_MicDiv
mart	Maribacter sp. T28
marb	Maribacter cobaltidurans
mare	Maribacter sp. MJ134
cao	Cellulophaga algicola
cly	Cellulophaga lytica DSM 7489
clh	Cellulophaga lytica HI1
cbal	Cellulophaga baltica NN016038
cbat	Cellulophaga baltica 18
kdi	Dokdonia sp. 4H-3-7-5
dok	Dokdonia sp. MED134
ddo	Dokdonia donghaensis
dod	Dokdonia sp. Dokd-P16
lan	Lacinutrix sp. 5H-3-7-4
lvn	Lacinutrix venerupis
laci	Lacinutrix sp. Bg11-31
zga	Zobellia galactanivorans
mrs	Muricauda ruestringensis
mlt	Muricauda lutaonensis
mut	Muricauda sp. 501str8
asl	Aequorivita sublithincola
aev	Aequorivita sp. H23M31
ptq	Psychroflexus torquis
ndo	Nonlabens dokdonensis
nom	Nonlabens sp. MIC269
nsd	Nonlabens sediminis
nob	Nonlabens sp. MB-3u-79
noj	Nonlabens sp. MJ115
pom	Polaribacter sp. MED152
pob	Polaribacter vadi
prn	Polaribacter reichenbachii
pola	Polaribacter sp. BM10
poa	Polaribacter sp. ALD11
myr	Myroides sp. A21
mpw	Myroides profundi
mod	Myroides odoratimimus
myz	Myroides sp. ZB35
win	Winogradskyella sp. PG-2
wij	Winogradskyella sp. J14-2
sze	Siansivirga zeaxanthinifaciens
ahz	Algibacter alginicilyticus
syi	Sediminicola sp. YIK13
tdi	Tenacibaculum dicentrarchi
ten	Tenacibaculum todarodis
tje	Tenacibaculum jejuense
tmar	Tenacibaculum maritimum
tmp	Tenacibaculum mesophilum
lut	Lutibacter profundi
lul	Urechidicola croceus
wfu	Wenyingzhuangia fucanilytica
for	Formosa sp. Hel1_33_131
foh	Formosa sp. Hel3_A1_48
fop	Formosa sediminum
salt	Salegentibacter sp. T436
seon	Seonamhaeicola sp. S2-3
aalg	Arenibacter algicola
oll	Olleya sp. Bg11-27
oaq	Olleya aquimaris
fek	Flavivirga eckloniae
taj	Tamlana sp. UJ94
aue	Aureitalea sp. RR4-38
spon	Flagellimonas maritima
kos	Kordia sp. SMS9
kan	Kordia antarctica
marf	Mariniflexile sp. TRM1-10
aqb	Aquimarina sp. BL5
aqa	Aquimarina sp. AD1
aqd	Aquimarina sp. AD10
emar	Euzebyella marina
mur	Muriicola sp. MMS17-SY002
psyn	Psychroserpens sp. NJDZ02
afla	Antarcticibacterium flavum
anp	Antarcticibacterium sp. PAMC 28998
oci	Oceanihabitans sp. IOP_32
mgel	Marinirhabdus gelatinilytica
mesq	Mesoflavibacter sp. HG96
gaa	Galbibacter sp. bg1
cagg	Costertonia aggregata
alti	Altibacter sp. ALE3EI
fba	Flavobacteriaceae bacterium 3519-10
fbu	Flavobacteriaceae bacterium UJ101
fbe	Flavobacteriaceae bacterium 10Alg115
ran	Riemerella anatipestifer ATCC 11845 = DSM 15868
rai	Riemerella anatipestifer ATCC 11845 = DSM 15868
rar	Riemerella anatipestifer RA-GD
rag	Riemerella anatipestifer RA-CH-1
rae	Riemerella anatipestifer RA-CH-2
rat	Riemerella anatipestifer CH3
wvi	Weeksella virosa
orh	Ornithobacterium rhinotracheale DSM 15997
ori	Ornithobacterium rhinotracheale ORT-UMN 88
eao	Elizabethkingia anophelis NUHP1
emn	Elizabethkingia anophelis FMS-007
een	Elizabethkingia anophelis JM-87
elb	Elizabethkingia miricola
emg	Elizabethkingia meningoseptica
ego	Elizabethkingia ursingii
egm	Elizabethkingia bruuniana
elz	Elizabethkingia sp. 2-6
elt	Elizabethkingia sp. JS20170427COW
chz	Chryseobacterium sp. StRB126
cgn	Chryseobacterium gallinarum
cih	Chryseobacterium sp. IHB B 17019
chh	Chryseobacterium glaciei
cio	Chryseobacterium indologenes
chry	Chryseobacterium sp. T16E-39
cpip	Chryseobacterium piperi
ctak	Chryseobacterium taklimakanense
chrs	Chryseobacterium sp. 3008163
chrz	Chryseobacterium sp. 6424
carh	Chryseobacterium arthrosphaerae
csha	Chryseobacterium shandongense
cnk	Chryseobacterium nakagawai
cjt	Chryseobacterium joostei
clac	Chryseobacterium lactis
cil	Chryseobacterium indoltheticum
ccau	Chryseobacterium carnipullorum
cnr	Cloacibacterium normanense
ebv	Empedobacter brevis
efal	Empedobacter falsenii
este	Empedobacter stercoris
bcad	Bergeyella cardium
apib	Apibacter sp. B2966
smg	Candidatus Sulcia muelleri GWSS
sms	Candidatus Sulcia muelleri SMDSEM
smh	Candidatus Sulcia muelleri DMIN
sum	Candidatus Sulcia muelleri CARI
smv	Candidatus Sulcia muelleri Sulcia-ALF
smub	Candidatus Sulcia muelleri BGSS
smum	Candidatus Sulcia muelleri ML
smue	Candidatus Sulcia muelleri TETUND
smup	Candidatus Sulcia muelleri PSPU
bbl	Blattabacterium sp. (Blattella germanica) Bge
bpi	Blattabacterium sp. BPLAN (Periplaneta americana)
bmm	Blattabacterium sp. (Mastotermes darwiniensis)
bcp	Blattabacterium Cpu (Cryptocercus punctulatus)
bbg	Blattabacterium sp. (Blaberus giganteus)
bbq	Blattabacterium sp. (Blatta orientalis)
blp	Blattabacterium cuenoti
blu	Blattabacterium sp. (Nauphoeta cinerea)
blck	Blattabacterium sp. (Cryptocercus kyebangensis)
fte	Fluviicola taffensis
flu	Candidatus Fluviicola riflensis
oho	Owenweeksia hongkongensis
ise	Ichthyobacterium seriolicida
elv	Candidatus Walczuchella monophlebidarum
udi	Candidatus Uzinura diaspidicola
bbau	Bacteroidetes bacterium
cte	Chlorobaculum tepidum
cpc	Chlorobaculum parvum
clz	Chlorobaculum limnaeum
cch	Chlorobium chlorochromatii
cph	Chlorobium phaeobacteroides DSM 266
cpb	Chlorobium phaeobacteroides BS1
cli	Chlorobium limicola
pvi	Chlorobium phaeovibrioides
plt	Chlorobium luteolum
pph	Pelodictyon phaeoclathratiforme
paa	Prosthecochloris aestuarii
proc	Prosthecochloris sp. CIB 2401
prs	Prosthecochloris sp. HL-130-GSB
pros	Prosthecochloris sp. GSB1
cts	Chloroherpeton thalassium
ial	Ignavibacterium album
mro	Melioribacter roseus
cprv	Candidatus Cyclonatronum proteinivorum
caci	Candidatus Cloacimonas acidaminovorans
aae	Aquifex aeolicus
hya	Hydrogenobaculum sp. Y04AAS1
hho	Hydrogenobaculum sp. HO
hys	Hydrogenobaculum sp. SN
hth	Hydrogenobacter thermophilus
hte	Hydrogenobacter thermophilus
tal	Thermocrinis albus
trd	Thermocrinis ruber
sul	Sulfurihydrogenibium sp. YO3AOP1
saf	Sulfurihydrogenibium azorense
pmx	Persephonella marina
ttk	Thermosulfidibacter takaii
tam	Thermovibrio ammonificans
dte	Desulfurobacterium thermolithotrophum
tma	Thermotoga maritima MSB8
tmm	Thermotoga maritima MSB8
tmi	Thermotoga maritima MSB8
tmw	Thermotoga maritima MSB8
tmq	Thermotoga maritima Tma100
tmx	Thermotoga maritima Tma200
tpt	Thermotoga petrophila
trq	Thermotoga sp. RQ2
tna	Thermotoga neapolitana
tnp	Thermotoga naphthophila
thq	Thermotoga sp. 2812B
thz	Thermotoga sp. Cell2
thr	Thermotoga sp. RQ7
tle	Pseudothermotoga lettingae
tta	Pseudothermotoga thermarum
phy	Pseudothermotoga hypogea
tme	Thermosipho melanesiensis
taf	Thermosipho africanus
thp	Thermosipho sp. 1063
ther	Thermosipho sp. 1070
fno	Fervidobacterium nodosum
fpe	Fervidobacterium pennivorans
fia	Fervidobacterium islandicum
pmo	Petrotoga mobilis
mpz	Marinitoga piezophila
marn	Marinitoga sp. 1137
dtn	Defluviitoga tunisiensis
kol	Kosmotoga olearia
kpf	Kosmotoga pacifica
mpg	Mesotoga prima
minf	Mesotoga infera
asac	Athalassotoga saccharophila
cpo	Coprothermobacter proteolyticus
cex	Caldisericum exile
din	Desulfurispirillum indicum
ddf	Deferribacter desulfuricans
dap	Denitrovibrio acetiphilus
cni	Calditerrivibrio nitroreducens
fsi	Flexistipes sinusarabici
gtl	Geovibrio thiophilus
caby	Caldithrix abyssi
dth	Dictyoglomus thermophilum
dtu	Dictyoglomus turgidum
tye	Thermodesulfovibrio yellowstonii
nde	Nitrospira defluvii
nmv	Nitrospira moscoviensis
nio	Candidatus Nitrospira inopinata
nja	Nitrospira japonica
lfc	Leptospirillum ferrooxidans
lfi	Leptospirillum ferriphilum ML-04
lfp	Leptospirillum ferriphilum YSK
leg	Leptospirillum sp. Group II
tid	Thermodesulfatator indicus
top	Thermodesulfobacterium geofontis
tcm	Thermodesulfobacterium commune
thet	Thermodesulfobacterium sp. TA1
cthi	Caldimicrobium thiodismutans
tav	Thermosulfuriphilus ammonigenes
tmai	Thermosulfurimonas marina
saal	Candidatus Saccharimonas aalborgensis
sbe	Candidatus Saccharibacteria bacterium RAAC3_TM7_1
sbag	Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17
sox	Candidatus Saccharibacteria oral
prf	Candidatus Peribacter riflensis
bana	Candidatus Bipolaricaulis anaerobius
bih	Candidatus Bipolaricaulis sp. Ch78
vai	Vampirococcus sp. LiM
mox	Candidatus Methylomirabilis oxyfera
caqa	Candidatus Chazhemtobacterium aquaticus
dpb	Candidatus Babela massiliensis
tmg	Candidate division TM6 bacterium GW2011_GWF2_28_16
srb	Candidate division SR1 bacterium RAAC1_SR1_1
srg	Candidate division SR1 bacterium Aalborg_AAW-1
wwe	Candidate division WWE3 bacterium RAAC2_WWE3_1
bgw	Candidate division Kazan bacterium GW2011_GWA1_50_15
bbgw	Berkelbacteria bacterium GW2011_GWE1_39_12
mib	Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
wba	Candidatus Woesebacteria bacterium GW2011_GWF1_31_35
pwo	Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1
cgw	Candidatus Campbellbacteria bacterium GW2011_OD1_34_28
baab	Bacterium AB1
mja	Methanocaldococcus jannaschii
mfe	Methanocaldococcus fervens
mvu	Methanocaldococcus vulcanius
mfs	Methanocaldococcus sp. FS406-22
mif	Methanocaldococcus infernus
mjh	Methanocaldococcus bathoardescens
mig	Methanotorris igneus
mmp	Methanococcus maripaludis S2
mmq	Methanococcus maripaludis C5
mmx	Methanococcus maripaludis C6
mmz	Methanococcus maripaludis C7
mmd	Methanococcus maripaludis X1
mmak	Methanococcus maripaludis KA1
mmao	Methanococcus maripaludis OS7
mmad	Methanococcus maripaludis DSM 2067
mae	Methanococcus aeolicus
mvn	Methanococcus vannielii
mvo	Methanococcus voltae
mok	Methanothermococcus okinawensis
metf	Methanofervidicoccus sp. A16
mth	Methanothermobacter thermautotrophicus
mmg	Methanothermobacter marburgensis
metc	Methanothermobacter sp. CaT2
mwo	Methanothermobacter wolfeii
mete	Methanothermobacter sp. EMTCatA1
metz	Methanothermobacter sp. MT-2
metk	Methanothermobacter sp. KEPCO-1
mthm	Methanothermobacter sp. THM-1
mst	Methanosphaera stadtmanae
metb	Methanosphaera sp. BMS
mru	Methanobrevibacter ruminantium
msi	Methanobrevibacter smithii
meb	Methanobrevibacter sp. AbM4
mmil	Methanobrevibacter millerae
meye	Methanobrevibacter sp. YE315
mol	Methanobrevibacter olleyae
mel	Methanobacterium lacus
mew	Methanobacterium paludis
meth	Methanobacterium sp. MB1
mfc	Methanobacterium formicicum BRM9
mfi	Methanobacterium formicicum DSM1535
mcub	Methanobacterium congolense
msub	Methanobacterium subterraneum
metn	Methanobacterium sp. MZ-A1
mett	Methanobacterium sp. BRmetb2
meto	Methanobacterium sp. BAmetb5
mfv	Methanothermus fervidus
mka	Methanopyrus kandleri
afu	Archaeoglobus fulgidus DSM 4304
afg	Archaeoglobus fulgidus DSM 8774
apo	Archaeoglobus profundus
ave	Archaeoglobus veneficus
ast	Archaeoglobus sulfaticallidus
fpl	Ferroglobus placidus
gac	Geoglobus acetivorans
gah	Geoglobus ahangari
tac	Thermoplasma acidophilum
tvo	Thermoplasma volcanium
pto	Picrophilus torridus
fac	Ferroplasma acidarmanus
fai	Ferroplasma acidiphilum
cdiv	Cuniculiplasma divulgatum
tar	Thermoplasmatales archaeon BRNA1
max	Candidatus Methanomethylophilus alvus
mer	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
mear	Candidatus Methanoplasma termitum
marc	Methanogenic archaeon ISO4-H5
abi	Aciduliprofundum boonei
acf	Aciduliprofundum sp. MAR08-339
pfu	Pyrococcus furiosus DSM 3638
pfi	Pyrococcus furiosus COM1
pho	Pyrococcus horikoshii
pab	Pyrococcus abyssi
pyn	Pyrococcus sp. NA2
pya	Pyrococcus yayanosii
pys	Pyrococcus sp. ST04
pyc	Pyrococcus kukulkanii
tko	Thermococcus kodakarensis
ton	Thermococcus onnurineus
tga	Thermococcus gammatolerans
tsi	Thermococcus sibiricus
tba	Thermococcus barophilus
the	Thermococcus sp. 4557
tha	Thermococcus sp. AM4
thm	Thermococcus cleftensis
tlt	Thermococcus litoralis
ths	Thermococcus paralvinellae
tnu	Thermococcus nautili
teu	Thermococcus eurythermalis
tgy	Thermococcus guaymasensis
thv	Thermococcus sp. 2319x1
tch	Thermococcus chitonophagus
tpep	Thermococcus peptonophilus
tpie	Thermococcus piezophilus
tgg	Thermococcus gorgonarius
tce	Thermococcus celer
tbs	Thermococcus barossii
thh	Thermococcus sp. 5-4
tsl	Thermococcus siculi
ttd	Thermococcus thioreducens
tprf	Thermococcus profundus
trl	Thermococcus radiotolerans
